coordinates,intens_mm,%_área
"19.50518825,-99.1262119363",54 a 60,100
"19.4850104552,-99.1105577546",54 a 60,100
"19.4850104552,-99.1105577546",54 a 60,100
"19.4963252184,-99.1506820207",60 a 64,100
"19.4963252184,-99.1506820207",60 a 64,100
"19.4961308298,-99.1455779876",54 a 60,100
"19.4961308298,-99.1455779876",54 a 60,100
"19.4905649733,-99.1310786334",54 a 60,100
"19.4905649733,-99.1310786334",54 a 60,100
"19.4864705107,-99.0874781179",41 a 54,100
"19.4864705107,-99.0874781179",41 a 54,100
"19.4724822349,-99.0860251221",54 a 60,100
"19.4724822349,-99.0860251221",54 a 60,100
"19.5604129153,-99.1425724906",64 a 70,0 a 25
"19.5604129153,-99.1425724906",64 a 70,0 a 25
"19.4849582076,-99.0690564507",41 a 54,73 a 99
"19.4849582076,-99.0690564507",41 a 54,73 a 99
"19.4646076164,-99.1257605004",54 a 60,100
"19.4646076164,-99.1257605004",54 a 60,100
"19.5039967728,-99.1302890795",54 a 60,100
"19.5039967728,-99.1302890795",54 a 60,100
"19.5326952827,-99.1388409621",60 a 64,0 a 25
"19.5326952827,-99.1388409621",60 a 64,0 a 25
"19.5069613177,-99.1213021163",54 a 60,73 a 99
"19.5069613177,-99.1213021163",54 a 60,73 a 99
"19.5118227883,-99.1321576734",54 a 60,100
"19.5118227883,-99.1321576734",54 a 60,100
"19.5088110318,-99.1371367053",54 a 60,100
"19.5088110318,-99.1371367053",54 a 60,100
"19.51266961,-99.1366140131",54 a 60,100
"19.51266961,-99.1366140131",54 a 60,100
"19.5080825427,-99.1247406451",54 a 60,100
"19.5080825427,-99.1247406451",54 a 60,100
"19.4574378388,-99.0864179933",41 a 54,100
"19.4574378388,-99.0864179933",41 a 54,100
"19.5182037949,-99.154506099",60 a 64,100
"19.5182037949,-99.154506099",60 a 64,100
"19.5186207877,-99.1583056013",60 a 64,100
"19.5186207877,-99.1583056013",60 a 64,100
"19.5224888839,-99.1546871999",60 a 64,100
"19.5224888839,-99.1546871999",60 a 64,100
"19.5208596865,-99.1631124392",60 a 64,100
"19.5208596865,-99.1631124392",60 a 64,100
"19.5681870114,-99.1258275783",64 a 70,0 a 25
"19.5681870114,-99.1258275783",64 a 70,0 a 25
"19.5093448639,-99.0951459754",54 a 60,73 a 99
"19.5093448639,-99.0951459754",54 a 60,73 a 99
"19.5462998828,-99.1253937461",60 a 64,0 a 25
"19.5462998828,-99.1253937461",60 a 64,0 a 25
"19.5469255663,-99.1482171007",64 a 70,50 a 72
"19.5469255663,-99.1482171007",64 a 70,50 a 72
"19.4536355933,-99.0640881929",41 a 54,100
"19.4536355933,-99.0640881929",41 a 54,100
"19.4980204918,-99.1492705255",60 a 64,100
"19.4980204918,-99.1492705255",60 a 64,100
"19.4624522382,-99.1069098327",54 a 60,100
"19.4624522382,-99.1069098327",54 a 60,100
"19.4587861526,-99.1110836531",54 a 60,100
"19.4587861526,-99.1110836531",54 a 60,100
"19.5486353148,-99.122883969",60 a 64,0 a 25
"19.5486353148,-99.122883969",60 a 64,0 a 25
"19.5246451044,-99.1383772516",60 a 64,50 a 72
"19.5246451044,-99.1383772516",60 a 64,50 a 72
"19.5360021485,-99.1394269636",60 a 64,0 a 25
"19.5360021485,-99.1394269636",60 a 64,0 a 25
"19.5396848644,-99.1475098372",60 a 64,100
"19.5396848644,-99.1475098372",60 a 64,100
"19.5499572804,-99.1263209842",60 a 64,0 a 25
"19.5499572804,-99.1263209842",60 a 64,0 a 25
"19.552584163,-99.1302038891",60 a 64,0 a 25
"19.552584163,-99.1302038891",60 a 64,0 a 25
"19.5535450617,-99.1513117562",64 a 70,0 a 25
"19.5535450617,-99.1513117562",64 a 70,0 a 25
"19.450999286,-99.0608548401",41 a 54,100
"19.450999286,-99.0608548401",41 a 54,100
"19.4552952985,-99.0711943015",41 a 54,100
"19.4552952985,-99.0711943015",41 a 54,100
"19.4470301531,-99.0616872115",41 a 54,100
"19.4470301531,-99.0616872115",41 a 54,100
"19.449114424,-99.0872870827",41 a 54,100
"19.449114424,-99.0872870827",41 a 54,100
"19.448572617,-99.0696136968",41 a 54,100
"19.448572617,-99.0696136968",41 a 54,100
"19.4670368609,-99.0681722068",41 a 54,100
"19.4670368609,-99.0681722068",41 a 54,100
"19.4779323964,-99.065444295",41 a 54,73 a 99
"19.4779323964,-99.065444295",41 a 54,73 a 99
"19.4777523356,-99.0711744445",41 a 54,100
"19.4777523356,-99.0711744445",41 a 54,100
"19.4868930244,-99.0765896996",41 a 54,100
"19.4868930244,-99.0765896996",41 a 54,100
"19.4916674811,-99.0735043442",41 a 54,100
"19.4916674811,-99.0735043442",41 a 54,100
"19.5266875672,-99.1494780578",60 a 64,100
"19.5266875672,-99.1494780578",60 a 64,100
"19.4687802683,-99.1204756293",54 a 60,100
"19.4687802683,-99.1204756293",54 a 60,100
"19.5061174974,-99.1337907529",54 a 60,100
"19.5061174974,-99.1337907529",54 a 60,100
"19.5059681974,-99.1533592138",60 a 64,100
"19.5059681974,-99.1533592138",60 a 64,100
"19.5549466612,-99.1206372553",60 a 64,0 a 25
"19.5549466612,-99.1206372553",60 a 64,0 a 25
"19.4678508129,-99.1151979844",54 a 60,100
"19.4678508129,-99.1151979844",54 a 60,100
"19.4979517239,-99.1066856305",54 a 60,0 a 25
"19.4979517239,-99.1066856305",54 a 60,0 a 25
"19.4916121841,-99.1171993417",54 a 60,73 a 99
"19.4916121841,-99.1171993417",54 a 60,73 a 99
"19.4666778118,-99.1368574809",54 a 60,100
"19.4666778118,-99.1368574809",54 a 60,100
"19.5086454007,-99.1161420525",54 a 60,0 a 25
"19.5086454007,-99.1161420525",54 a 60,0 a 25
"19.4652048104,-99.0615442528",41 a 54,73 a 99
"19.4652048104,-99.0615442528",41 a 54,73 a 99
"19.4602994807,-99.0733658966",41 a 54,73 a 99
"19.4602994807,-99.0733658966",41 a 54,73 a 99
"19.4748052051,-99.0677267303",41 a 54,100
"19.4748052051,-99.0677267303",41 a 54,100
"19.4926295395,-99.0887881851",41 a 54,100
"19.4926295395,-99.0887881851",41 a 54,100
"19.496276468,-99.0948563473",54 a 60,100
"19.496276468,-99.0948563473",54 a 60,100
"19.5407127075,-99.129822249",60 a 64,0 a 25
"19.5407127075,-99.129822249",60 a 64,0 a 25
"19.5663428776,-99.1174079898",60 a 64,0 a 25
"19.5663428776,-99.1174079898",60 a 64,0 a 25
"19.4540838018,-99.0978630178",41 a 54,100
"19.4540838018,-99.0978630178",41 a 54,100
"19.4895323645,-99.1483505855",54 a 60,100
"19.4895323645,-99.1483505855",54 a 60,100
"19.5063328791,-99.0887531617",54 a 60,73 a 99
"19.5063328791,-99.0887531617",54 a 60,73 a 99
"19.5006153699,-99.0843594854",54 a 60,100
"19.5006153699,-99.0843594854",54 a 60,100
"19.4977206225,-99.0917262602",54 a 60,100
"19.4977206225,-99.0917262602",54 a 60,100
"19.5049189603,-99.1564803635",60 a 64,73 a 99
"19.5049189603,-99.1564803635",60 a 64,73 a 99
"19.5688029523,-99.1349354086",64 a 70,0 a 25
"19.5688029523,-99.1349354086",64 a 70,0 a 25
"19.5582278041,-99.1263340465",60 a 64,0 a 25
"19.5582278041,-99.1263340465",60 a 64,0 a 25
"19.5548616662,-99.1275441746",60 a 64,0 a 25
"19.5548616662,-99.1275441746",60 a 64,0 a 25
"19.5503390637,-99.1311351852",60 a 64,26 a 49
"19.5503390637,-99.1311351852",60 a 64,26 a 49
"19.4967162435,-99.0868014417",41 a 54,100
"19.4967162435,-99.0868014417",41 a 54,100
"19.5244792549,-99.1598091617",60 a 64,100
"19.5244792549,-99.1598091617",60 a 64,100
"19.5453689908,-99.1302724223",60 a 64,0 a 25
"19.5453689908,-99.1302724223",60 a 64,0 a 25
"19.5831143778,-99.1205622703",64 a 70,0 a 25
"19.5831143778,-99.1205622703",64 a 70,0 a 25
"19.5616559433,-99.1466710838",64 a 70,0 a 25
"19.5616559433,-99.1466710838",64 a 70,0 a 25
"19.4494485052,-99.0548619586",41 a 54,73 a 99
"19.4494485052,-99.0548619586",41 a 54,73 a 99
"19.4957924403,-99.1240963689",54 a 60,100
"19.4957924403,-99.1240963689",54 a 60,100
"19.5159034826,-99.1598442174",60 a 64,100
"19.5159034826,-99.1598442174",60 a 64,100
"19.510574436,-99.1566229929",60 a 64,73 a 99
"19.510574436,-99.1566229929",60 a 64,73 a 99
"19.5279442108,-99.1516653293",60 a 64,100
"19.5279442108,-99.1516653293",60 a 64,100
"19.5009715659,-99.09165273",54 a 60,100
"19.5009715659,-99.09165273",54 a 60,100
"19.5289752506,-99.1551023117",60 a 64,73 a 99
"19.5289752506,-99.1551023117",60 a 64,73 a 99
"19.533184775,-99.1465849689",60 a 64,100
"19.533184775,-99.1465849689",60 a 64,100
"19.4808320196,-99.1185565862",54 a 60,73 a 99
"19.4808320196,-99.1185565862",54 a 60,73 a 99
"19.488365666,-99.1200178013",54 a 60,100
"19.488365666,-99.1200178013",54 a 60,100
"19.4840766322,-99.0979827502",54 a 60,100
"19.4840766322,-99.0979827502",54 a 60,100
"19.475694333,-99.095638789",41 a 54,100
"19.475694333,-99.095638789",41 a 54,100
"19.4698180533,-99.1035688326",41 a 54,100
"19.4698180533,-99.1035688326",41 a 54,100
"19.4839462865,-99.0732900281",41 a 54,100
"19.4839462865,-99.0732900281",41 a 54,100
"19.4711318407,-99.0752243308",41 a 54,100
"19.4711318407,-99.0752243308",41 a 54,100
"19.5408199825,-99.137400661",60 a 64,0 a 25
"19.5408199825,-99.137400661",60 a 64,0 a 25
"19.5374473627,-99.1496026605",60 a 64,100
"19.5374473627,-99.1496026605",60 a 64,100
"19.5219195307,-99.1340171776",60 a 64,26 a 49
"19.5219195307,-99.1340171776",60 a 64,26 a 49
"19.4568731702,-99.055548377",41 a 54,73 a 99
"19.4568731702,-99.055548377",41 a 54,73 a 99
"19.4793503525,-99.068863462",41 a 54,100
"19.4793503525,-99.068863462",41 a 54,100
"19.4605153957,-99.1191427272",54 a 60,100
"19.4605153957,-99.1191427272",54 a 60,100
"19.4628978777,-99.0929070116",41 a 54,100
"19.4628978777,-99.0929070116",41 a 54,100
"19.4983829199,-99.117096096",54 a 60,100
"19.4983829199,-99.117096096",54 a 60,100
"19.4947092679,-99.1153428046",54 a 60,73 a 99
"19.4947092679,-99.1153428046",54 a 60,73 a 99
"19.456761922,-99.0669795481",41 a 54,100
"19.456761922,-99.0669795481",41 a 54,100
"19.4731650459,-99.061996515",41 a 54,73 a 99
"19.4731650459,-99.061996515",41 a 54,73 a 99
"19.4709219521,-99.1073313493",54 a 60,100
"19.4709219521,-99.1073313493",54 a 60,100
"19.4679300386,-99.1008366986",41 a 54,100
"19.4679300386,-99.1008366986",41 a 54,100
"19.4662356326,-99.1053410946",54 a 60,100
"19.4662356326,-99.1053410946",54 a 60,100
"19.4646616856,-99.1004851903",41 a 54,100
"19.4646616856,-99.1004851903",41 a 54,100
"19.4985008825,-99.1001825107",54 a 60,26 a 49
"19.4985008825,-99.1001825107",54 a 60,26 a 49
"19.5482388797,-99.1311872959",60 a 64,0 a 25
"19.5482388797,-99.1311872959",60 a 64,0 a 25
"19.5444196137,-99.1342963386",60 a 64,26 a 49
"19.5444196137,-99.1342963386",60 a 64,26 a 49
"19.4921317969,-99.1473134401",54 a 60,100
"19.4921317969,-99.1473134401",54 a 60,100
"19.5007286429,-99.1537491538",60 a 64,100
"19.5007286429,-99.1537491538",60 a 64,100
"19.457375214,-99.1035674395",41 a 54,100
"19.457375214,-99.1035674395",41 a 54,100
"19.5037920676,-99.0910807005",54 a 60,100
"19.5037920676,-99.0910807005",54 a 60,100
"19.526544451,-99.165879364",64 a 70,73 a 99
"19.526544451,-99.165879364",64 a 70,73 a 99
"19.4771537415,-99.1175422089",54 a 60,100
"19.4771537415,-99.1175422089",54 a 60,100
"19.4583153378,-99.0638855904",41 a 54,100
"19.4583153378,-99.0638855904",41 a 54,100
"19.5331795739,-99.1444040945",60 a 64,100
"19.5331795739,-99.1444040945",60 a 64,100
"19.5367889685,-99.1348290011",60 a 64,0 a 25
"19.5367889685,-99.1348290011",60 a 64,0 a 25
"19.5561413312,-99.1418537903",64 a 70,0 a 25
"19.5561413312,-99.1418537903",64 a 70,0 a 25
"19.5707026966,-99.1399786256",64 a 70,0 a 25
"19.5707026966,-99.1399786256",64 a 70,0 a 25
"19.5510411833,-99.1534351265",64 a 70,0 a 25
"19.5510411833,-99.1534351265",64 a 70,0 a 25
"19.5564002244,-99.1493540748",64 a 70,0 a 25
"19.5564002244,-99.1493540748",64 a 70,0 a 25
"19.5658172735,-99.1433059667",64 a 70,0 a 25
"19.5658172735,-99.1433059667",64 a 70,0 a 25
"19.4861232847,-99.0960031796",54 a 60,100
"19.4861232847,-99.0960031796",54 a 60,100
"19.524673685,-99.1460212599",60 a 64,100
"19.524673685,-99.1460212599",60 a 64,100
"19.4902911037,-99.1245645325",54 a 60,100
"19.4902911037,-99.1245645325",54 a 60,100
"19.5061618036,-99.1047492201",54 a 60,0 a 25
"19.5061618036,-99.1047492201",54 a 60,0 a 25
"19.5086864876,-99.105500381",54 a 60,50 a 72
"19.5086864876,-99.105500381",54 a 60,50 a 72
"19.4895809924,-99.1109486519",54 a 60,73 a 99
"19.4895809924,-99.1109486519",54 a 60,73 a 99
"19.5154151305,-99.1338671547",54 a 60,100
"19.5154151305,-99.1338671547",54 a 60,100
"19.5194271681,-99.1348048593",60 a 64,73 a 99
"19.5194271681,-99.1348048593",60 a 64,73 a 99
"19.5237381583,-99.1497180865",60 a 64,73 a 99
"19.5237381583,-99.1497180865",60 a 64,73 a 99
"19.5253066939,-99.1438180125",60 a 64,100
"19.5253066939,-99.1438180125",60 a 64,100
"19.5246320758,-99.1413010393",60 a 64,100
"19.5246320758,-99.1413010393",60 a 64,100
"19.4728399214,-99.1241379397",54 a 60,100
"19.4728399214,-99.1241379397",54 a 60,100
"19.4741781567,-99.13244313",54 a 60,100
"19.4741781567,-99.13244313",54 a 60,100
"19.4688745665,-99.132853336",54 a 60,100
"19.4688745665,-99.132853336",54 a 60,100
"19.4816391802,-99.1231911602",54 a 60,100
"19.4816391802,-99.1231911602",54 a 60,100
"19.4572095871,-99.0948894505",41 a 54,100
"19.4572095871,-99.0948894505",41 a 54,100
"19.4718904484,-99.0896544859",41 a 54,100
"19.4718904484,-99.0896544859",41 a 54,100
"19.4708104669,-99.0872199117",41 a 54,100
"19.4708104669,-99.0872199117",41 a 54,100
"19.4739967564,-99.0907041202",54 a 60,100
"19.4739967564,-99.0907041202",54 a 60,100
"19.4678996133,-99.0604849131",41 a 54,73 a 99
"19.4678996133,-99.0604849131",41 a 54,73 a 99
"19.5024094573,-99.1522727691",60 a 64,73 a 99
"19.5024094573,-99.1522727691",60 a 64,73 a 99
"19.4905155277,-99.1430633471",54 a 60,100
"19.4905155277,-99.1430633471",54 a 60,100
"19.4807639025,-99.1442661246",54 a 60,100
"19.4807639025,-99.1442661246",54 a 60,100
"19.478239647,-99.1444587899",54 a 60,100
"19.478239647,-99.1444587899",54 a 60,100
"19.4832274269,-99.1458301825",54 a 60,100
"19.4832274269,-99.1458301825",54 a 60,100
"19.4866709882,-99.0909983594",41 a 54,100
"19.4866709882,-99.0909983594",41 a 54,100
"19.5613716369,-99.1308130153",64 a 70,26 a 49
"19.5613716369,-99.1308130153",64 a 70,26 a 49
"19.5293909807,-99.1395400674",60 a 64,50 a 72
"19.5293909807,-99.1395400674",60 a 64,50 a 72
"19.4522451196,-99.0701877208",41 a 54,100
"19.4522451196,-99.0701877208",41 a 54,100
"19.5015690905,-99.1393816834",54 a 60,100
"19.5015690905,-99.1393816834",54 a 60,100
"19.5165285785,-99.1296498649",54 a 60,100
"19.5165285785,-99.1296498649",54 a 60,100
"19.4758916268,-99.0815895695",54 a 60,100
"19.4758916268,-99.0815895695",54 a 60,100
"19.4935520756,-99.1010195529",54 a 60,50 a 72
"19.4935520756,-99.1010195529",54 a 60,50 a 72
"19.4868460267,-99.1050914647",54 a 60,100
"19.4868460267,-99.1050914647",54 a 60,100
"19.5006683965,-99.1102549436",54 a 60,26 a 49
"19.5006683965,-99.1102549436",54 a 60,26 a 49
"19.4538329271,-99.0917655976",41 a 54,100
"19.4538329271,-99.0917655976",41 a 54,100
"19.4970312843,-99.1126601506",54 a 60,50 a 72
"19.4970312843,-99.1126601506",54 a 60,50 a 72
"19.5123472858,-99.1278375968",54 a 60,73 a 99
"19.5123472858,-99.1278375968",54 a 60,73 a 99
"19.5367720619,-99.1442916349",60 a 64,100
"19.5367720619,-99.1442916349",60 a 64,100
"19.5452251469,-99.1411810109",60 a 64,26 a 49
"19.5452251469,-99.1411810109",60 a 64,26 a 49
"19.4617214059,-99.0966467194",41 a 54,100
"19.4617214059,-99.0966467194",41 a 54,100
"19.4535850078,-99.0543293748",41 a 54,73 a 99
"19.4535850078,-99.0543293748",41 a 54,73 a 99
"19.4825480833,-99.0666441338",41 a 54,73 a 99
"19.4825480833,-99.0666441338",41 a 54,73 a 99
"19.4909136918,-99.069169047",41 a 54,73 a 99
"19.4909136918,-99.069169047",41 a 54,73 a 99
"19.5042739969,-99.0825507865",54 a 60,100
"19.5042739969,-99.0825507865",54 a 60,100
"19.4941126614,-99.0703336805",41 a 54,100
"19.4941126614,-99.0703336805",41 a 54,100
"19.4774340451,-99.0879111024",54 a 60,100
"19.4774340451,-99.0879111024",54 a 60,100
"19.4667544346,-99.0980322095",41 a 54,100
"19.4667544346,-99.0980322095",41 a 54,100
"19.5101762935,-99.0998092262",54 a 60,73 a 99
"19.5101762935,-99.0998092262",54 a 60,73 a 99
"19.5090082536,-99.1022274964",54 a 60,73 a 99
"19.5090082536,-99.1022274964",54 a 60,73 a 99
"19.4495648374,-99.0646524771",41 a 54,100
"19.4495648374,-99.0646524771",41 a 54,100
"19.4521064947,-99.0574149754",41 a 54,100
"19.4521064947,-99.0574149754",41 a 54,100
"19.4810777607,-99.0868472825",54 a 60,100
"19.4810777607,-99.0868472825",54 a 60,100
"19.4832953384,-99.0912829252",54 a 60,100
"19.4832953384,-99.0912829252",54 a 60,100
"19.4712026524,-99.0974091489",41 a 54,100
"19.4712026524,-99.0974091489",41 a 54,100
"19.481281675,-99.0995867712",54 a 60,100
"19.481281675,-99.0995867712",54 a 60,100
"19.4959100858,-99.152510601",60 a 64,100
"19.4959100858,-99.152510601",60 a 64,100
"19.5082609946,-99.092836682",54 a 60,73 a 99
"19.5082609946,-99.092836682",54 a 60,73 a 99
"19.5572202306,-99.1351617598",64 a 70,26 a 49
"19.5572202306,-99.1351617598",64 a 70,26 a 49
"19.5072190117,-99.0985326039",54 a 60,100
"19.5072190117,-99.0985326039",54 a 60,100
"19.5053127548,-99.0952811139",54 a 60,100
"19.5053127548,-99.0952811139",54 a 60,100
"19.5041017692,-99.0986932319",54 a 60,50 a 72
"19.5041017692,-99.0986932319",54 a 60,50 a 72
"19.4982788481,-99.1210177165",54 a 60,100
"19.4982788481,-99.1210177165",54 a 60,100
"19.4734026245,-99.125759476",54 a 60,100
"19.4734026245,-99.125759476",54 a 60,100
"19.5483057816,-99.154888965",64 a 70,0 a 25
"19.5483057816,-99.154888965",64 a 70,0 a 25
"19.5109485875,-99.0972613911",54 a 60,73 a 99
"19.5109485875,-99.0972613911",54 a 60,73 a 99
"19.5521332497,-99.1446722135",64 a 70,0 a 25
"19.5521332497,-99.1446722135",64 a 70,0 a 25
"19.5560939513,-99.155272982",64 a 70,0 a 25
"19.5560939513,-99.155272982",64 a 70,0 a 25
"19.4757970637,-99.1432328179",54 a 60,100
"19.4757970637,-99.1432328179",54 a 60,100
"19.4730892083,-99.1421035292",54 a 60,100
"19.4730892083,-99.1421035292",54 a 60,100
"19.4767009419,-99.1375388828",54 a 60,100
"19.4767009419,-99.1375388828",54 a 60,100
"19.4808488862,-99.116846279",54 a 60,100
"19.4808488862,-99.116846279",54 a 60,100
"19.4806108318,-99.073594083",41 a 54,100
"19.4806108318,-99.073594083",41 a 54,100
"19.4800891353,-99.0805760495",54 a 60,100
"19.4800891353,-99.0805760495",54 a 60,100
"19.4756276503,-99.0749941178",41 a 54,100
"19.4756276503,-99.0749941178",41 a 54,100
"19.5406399472,-99.1432150693",60 a 64,73 a 99
"19.5406399472,-99.1432150693",60 a 64,73 a 99
"19.495208646,-99.0754301995",41 a 54,100
"19.495208646,-99.0754301995",41 a 54,100
"19.4907947327,-99.1073148934",54 a 60,73 a 99
"19.4907947327,-99.1073148934",54 a 60,73 a 99
"19.4772020945,-99.1090335636",54 a 60,100
"19.4772020945,-99.1090335636",54 a 60,100
"19.4722213203,-99.1113263024",54 a 60,100
"19.4722213203,-99.1113263024",54 a 60,100
"19.4853470831,-99.0862088024",41 a 54,100
"19.4853470831,-99.0862088024",41 a 54,100
"19.4869733982,-99.1279692604",54 a 60,100
"19.4869733982,-99.1279692604",54 a 60,100
"19.4832735556,-99.1352894423",54 a 60,100
"19.4832735556,-99.1352894423",54 a 60,100
"19.5639673373,-99.1335094756",64 a 70,26 a 49
"19.5639673373,-99.1335094756",64 a 70,26 a 49
"19.5657452918,-99.1373797858",64 a 70,0 a 25
"19.5657452918,-99.1373797858",64 a 70,0 a 25
"19.5668271917,-99.1301406438",64 a 70,0 a 25
"19.5668271917,-99.1301406438",64 a 70,0 a 25
"19.4509636834,-99.0755655232",41 a 54,100
"19.4509636834,-99.0755655232",41 a 54,100
"19.451613063,-99.09963944",41 a 54,100
"19.451613063,-99.09963944",41 a 54,100
"19.4534907837,-99.1048034715",54 a 60,100
"19.4534907837,-99.1048034715",54 a 60,100
"19.4553411877,-99.110969299",54 a 60,100
"19.4553411877,-99.110969299",54 a 60,100
"19.4591973942,-99.1153009442",54 a 60,100
"19.4591973942,-99.1153009442",54 a 60,100
"19.4993167443,-99.069359239",41 a 54,73 a 99
"19.4993167443,-99.069359239",41 a 54,73 a 99
"19.4839743862,-99.0802513749",41 a 54,100
"19.4839743862,-99.0802513749",41 a 54,100
"19.4845981165,-99.0842277738",41 a 54,100
"19.4845981165,-99.0842277738",41 a 54,100
"19.4843818476,-99.1012129683",54 a 60,100
"19.4843818476,-99.1012129683",54 a 60,100
"19.4841230837,-99.1036792799",54 a 60,100
"19.4841230837,-99.1036792799",54 a 60,100
"19.4898187647,-99.0966707149",54 a 60,100
"19.4898187647,-99.0966707149",54 a 60,100
"19.493378879,-99.0963277012",54 a 60,100
"19.493378879,-99.0963277012",54 a 60,100
"19.4531671271,-99.0835689827",41 a 54,100
"19.4531671271,-99.0835689827",41 a 54,100
"19.4525503622,-99.0865377253",41 a 54,100
"19.4525503622,-99.0865377253",41 a 54,100
"19.4634982886,-99.0891434866",41 a 54,100
"19.4634982886,-99.0891434866",41 a 54,100
"19.4883561033,-99.0802663136",41 a 54,100
"19.4883561033,-99.0802663136",41 a 54,100
"19.4891709164,-99.0845950529",41 a 54,100
"19.4891709164,-99.0845950529",41 a 54,100
"19.4734984311,-99.1182162689",54 a 60,100
"19.4734984311,-99.1182162689",54 a 60,100
"19.5219507748,-99.1365453967",60 a 64,26 a 49
"19.5219507748,-99.1365453967",60 a 64,26 a 49
"19.504700532,-99.132003566",54 a 60,100
"19.504700532,-99.132003566",54 a 60,100
"19.5012148983,-99.076717098",41 a 54,73 a 99
"19.5012148983,-99.076717098",41 a 54,73 a 99
"19.5508788941,-99.1371853893",60 a 64,26 a 49
"19.5508788941,-99.1371853893",60 a 64,26 a 49
"19.4713632997,-99.0835371626",41 a 54,100
"19.4713632997,-99.0835371626",41 a 54,100
"19.4646007605,-99.1298032513",54 a 60,100
"19.4646007605,-99.1298032513",54 a 60,100
"19.5344216254,-99.153431264",64 a 70,73 a 99
"19.5344216254,-99.153431264",64 a 70,73 a 99
"19.5288663276,-99.1482430559",60 a 64,100
"19.5288663276,-99.1482430559",60 a 64,100
"19.5287472465,-99.1441257509",60 a 64,100
"19.5287472465,-99.1441257509",60 a 64,100
"19.5314682326,-99.147785726",60 a 64,100
"19.5314682326,-99.147785726",60 a 64,100
"19.4758212603,-99.1025757607",54 a 60,100
